Lenka;Nováková;050126/7697;2/1
Adam;Horváth;820802/3053;2/1
Zuzana;Tóthová;141008/6549;2/1
Peter;Horváth;160913/1763;2/1
Lucia;Vargová;041121/0704;2/1
Petra;Vargová;480824/5013;2/2
Lukáš;Farkaš;721028/7213;2/2
Zuzana;Farkašová;570405/1983;2/2
Veronika;Tóthová;830923/8454;2/3
Petra;Vargová;470611/6589;2/3
Andrea;Nagyová;141129/8745;2/3
Lukáš;Szabó;531116/0592;2/3
Martin;Varga;150330/8986;2/3
Lucia;Nováková;990816/0124;2/4
Ivana;Vargová;100907/7524;2/5
Tomáš;Molnár;340425/4455;1
Michal;Farkaš;260116/3820;1
Adam;Kováč;970203/3387;1
Adam;Baláž;050829/0992;1
Karolína;Molnárová;340111/8496;1
Petra;Szabóová;330109/2632;1
Matúš;Nagy;250611/4856;1
Lenka;Nováková;130814/0742;1
Michal;Kováč;891111/5331;1
Adam;Molnár;200317/5923;1
Asterix;Obelix;000101/1111;1
Andrea;Molnárová;930509/5665;4/1
Andrej;Varga;240908/4404;4/1
Lenka;Szabóová;970819/4525;4/1
Veronika;Molnárová;100918/5503;4/1
Ján;Nagy;680602/3049;4/1
Veronika;Vargová;211214/8983;4/2
Tomáš;Nagy;160718/5404;4/2
Ivana;Balážová;770603/1785;4/2
Jana;Szabóová;920108/5909;4/2
Monika;Horváthová;371121/3061;4/3
Marek;Szabó;270926/8731;4/3
Adam;Novák;230814/0679;4/3
Karolína;Nagyová;460731/5249;4/3
Zuzana;Molnárová;400421/5684;4/3
Veronika;Szabóová;090704/2392;4/4
Ivana;Tóthová;560215/8924;4/4
Marek;Horváth;970108/6239;4/5
Veronika;Farkašová;020911/6869;4/5
Veronika;Horváthová;541202/6607;4/5
Adam;Baláž;170402/1145;4/5
Lukáš;Novák;930222/2954;3
Zuzana;Farkašová;960331/3249;3
Ján;Farkaš;780916/8677;3
Ján;Varga;420203/8911;3
Lenka;Vargová;061031/6375;3
Karolína;Kováčová;150125/2342;3
Jana;Farkašová;080207/1717;3
Monika;Horváthová;760317/1394;3
Asterix;Obelix;000101/1111;3
Monika;Tóthová;521128/0550;6/1
Petra;Farkašová;410310/2527;6/2
Matúš;Varga;351007/9277;6/2
Andrea;Nagyová;550127/9323;6/2
Andrej;Farkaš;590129/2571;6/2
Andrej;Horváth;261103/9160;6/3
Martin;Farkaš;080820/6163;6/3
Martin;Baláž;870329/7150;6/4
Jana;Horváthová;930730/9526;6/4
Lucia;Vargová;231224/4831;6/4
Petra;Vargová;090102/0098;6/4
Zuzana;Kováčová;550925/7190;6/4
Lukáš;Novák;690711/2881;6/5
Zuzana;Nagyová;190724/6218;6/5
Marek;Szabó;100703/7708;6/5
Petra;Horváthová;120929/6078;6/5
Veronika;Balážová;360331/8339;6/5
Andrej;Novák;030829/5578;5
Matúš;Nagy;350214/3408;5
Adam;Tóth;110319/0588;5
Adam;Nagy;071222/8231;5
Adam;Szabó;410704/1581;5
Petra;Balážová;931010/2034;5
Adam;Baláž;180331/6489;5
Peter;Tóth;080724/0424;5
Martin;Molnár;930323/8848;5
Andrej;Molnár;840506/2923;5
Asterix;Obelix;000101/1111;5
Andrea;Molnárová;310730/9215;8/1
Adam;Novák;270419/2952;8/1
Martin;Horváth;571115/2124;8/1
Zuzana;Kováčová;590131/2037;8/1
Peter;Baláž;780221/0267;8/1
Petra;Balážová;990408/6593;8/2
Andrej;Horváth;050905/9319;8/2
Andrea;Tóthová;480926/3240;8/2
Petra;Tóthová;180901/2549;8/2
Tomáš;Baláž;500721/4779;8/3
Tomáš;Kováč;210428/4042;8/3
Ján;Novák;680909/1249;8/4
Lucia;Horváthová;620201/4045;8/4
Zuzana;Tóthová;390430/9436;8/5
Marek;Kováč;520109/0164;8/5
Andrea;Tóthová;530606/6283;8/5
Andrea;Nagyová;140509/8708;8/5
Tomáš;Nagy;710111/6938;8/5
Ivana;Kováčová;370928/1004;7
Tomáš;Nagy;501224/6154;7
Jana;Vargová;880124/5248;7
Andrea;Balážová;650927/8361;7
Jana;Kováčová;001013/7059;7
Marek;Varga;611113/4423;7
Veronika;Tóthová;191110/7230;7
Asterix;Obelix;000101/1111;7
Ján;Tóth;840322/5991;10/1
Lukáš;Tóth;060502/8391;10/1
Adam;Tóth;140805/0810;10/1
Lenka;Horváthová;611217/3888;10/1
Ivana;Nagyová;060122/5300;10/2
Zuzana;Balážová;561121/2615;10/2
Petra;Nagyová;611005/1327;10/2
Lukáš;Horváth;780722/3333;10/3
Tomáš;Kováč;070531/2626;10/4
Karolína;Horváthová;830208/0259;10/4
Ján;Tóth;050527/5831;10/5
Zuzana;Tóthová;100208/6407;10/5
Petra;Nováková;470428/4056;9
Peter;Kováč;091107/6067;9
Jana;Nagyová;440327/6386;9
Zuzana;Molnárová;940110/5207;9
Jana;Molnárová;170401/6807;9
Zuzana;Kováčová;110908/3973;9
Marek;Nagy;660816/1510;9
Karolína;Balážová;391004/0362;9
Monika;Nagyová;480828/4362;9
