Andrea;Szabóová;120504/6857;2/1
Matúš;Molnár;190901/6433;2/1
Lucia;Balážová;710926/4403;2/1
Lenka;Tóthová;721011/6617;2/1
Lukáš;Baláž;611201/5820;2/2
Matúš;Baláž;830521/8120;2/2
Zuzana;Kováčová;300211/1011;2/2
Martin;Tóth;481028/0878;2/2
Jana;Tóthová;450215/3142;2/3
Monika;Nagyová;210529/5966;2/3
Monika;Kováčová;450310/7187;2/4
Matúš;Tóth;900221/4928;2/4
Jana;Balážová;050811/2582;2/4
Petra;Kováčová;830826/0408;2/4
Matúš;Szabó;371113/0377;2/4
Marek;Tóth;720131/6045;2/5
Veronika;Balážová;061215/8865;2/5
Andrej;Tóth;580123/8489;2/5
Lukáš;Molnár;851029/5189;2/5
Andrea;Vargová;891004/5890;2/6
Peter;Farkaš;531025/8945;2/7
Monika;Szabóová;690410/3544;2/7
Michal;Tóth;211025/3163;2/7
Andrej;Farkaš;980524/4168;2/8
Monika;Horváthová;960709/5436;2/8
Tomáš;Molnár;850502/8566;2/8
Martin;Szabó;250614/1442;2/8
Karolína;Molnárová;790508/9882;2/8
Tomáš;Nagy;530216/4868;2/9
Karolína;Vargová;560203/5775;2/9
Lukáš;Molnár;910111/5807;2/9
Zuzana;Nagyová;810109/5607;2/10
Tomáš;Novák;330402/4038;2/10
Michal;Tóth;200927/5685;2/10
Martin;Molnár;150108/4493;2/11
Jana;Molnárová;390903/7190;2/11
Tomáš;Molnár;090703/6219;2/12
Karolína;Molnárová;990107/5312;2/12
Peter;Novák;230408/5113;2/13
Lukáš;Kováč;300512/1484;2/13
Zuzana;Farkašová;411017/3233;2/13
Marek;Varga;930701/1441;2/13
Adam;Horváth;280511/7102;2/14
Petra;Vargová;871024/1597;1
Zuzana;Horváthová;070921/0547;1
Martin;Farkaš;350702/2267;1
Michal;Novák;060618/7884;1
Asterix;Obelix;000101/1111;1
Marek;Szabó;010606/6410;4/1
Veronika;Kováčová;871208/7507;4/1
Lenka;Nagyová;630624/7472;4/1
Ján;Molnár;560512/2035;4/1
Martin;Horváth;190516/5454;4/1
Michal;Farkaš;720411/5212;4/2
Matúš;Varga;110826/0277;4/2
Monika;Nagyová;450330/3940;4/3
Karolína;Tóthová;321126/8638;4/3
Karolína;Tóthová;631113/5469;4/3
Andrea;Tóthová;740828/6719;4/3
Matúš;Szabó;580414/3042;4/4
Monika;Nagyová;440621/8293;4/4
Andrea;Szabóová;720710/8967;4/4
Karolína;Molnárová;301010/0762;4/4
Marek;Horváth;480128/7983;4/4
Matúš;Molnár;250707/3411;4/5
Marek;Szabó;561112/5237;4/5
Zuzana;Szabóová;230307/1086;4/6
Karolína;Farkašová;100608/4092;4/6
Adam;Kováč;231024/4820;4/6
Jana;Vargová;180727/7109;4/6
Lucia;Nováková;111104/7555;4/6
Marek;Kováč;941128/7685;4/7
Monika;Nagyová;410624/5643;4/7
Veronika;Tóthová;320823/3958;4/7
Karolína;Nováková;610214/8480;4/7
Veronika;Nováková;630418/3753;4/8
Peter;Varga;091128/8468;4/8
Lucia;Horváthová;190513/0954;4/8
Andrea;Szabóová;800503/8986;4/8
Lenka;Horváthová;620307/2246;4/9
Adam;Baláž;270118/2062;4/9
Marek;Tóth;400910/2788;4/10
Ján;Baláž;491029/1754;4/10
Adam;Szabó;290328/5991;4/10
Monika;Nagyová;970809/8188;4/10
Monika;Nagyová;781003/7394;4/10
Lucia;Balážová;330512/6577;4/11
Karolína;Kováčová;200901/0235;4/12
Zuzana;Farkašová;191026/2285;4/12
Marek;Molnár;171228/7668;4/12
Peter;Novák;670306/5299;4/12
Lukáš;Nagy;680120/9953;4/13
Veronika;Molnárová;550924/4653;4/13
Marek;Baláž;040819/6341;4/13
Jana;Farkašová;190424/9445;4/13
Andrej;Molnár;490428/2738;4/13
Lukáš;Nagy;800312/6211;4/14
Veronika;Nagyová;321207/0979;4/14
Petra;Szabóová;870728/4595;3
Jana;Balážová;100208/0006;3
Asterix;Obelix;000101/1111;3
Michal;Tóth;360202/1546;6/1
Lucia;Nagyová;640920/8066;6/1
Andrea;Molnárová;141120/7922;6/2
Adam;Farkaš;711215/2666;6/2
Lukáš;Molnár;671215/5509;6/2
Ján;Varga;500221/5298;6/2
Petra;Nagyová;930608/0279;6/3
Tomáš;Horváth;291013/1723;6/4
Peter;Molnár;030613/4806;6/4
Veronika;Nováková;500621/8904;6/4
Jana;Tóthová;170504/5142;6/4
Adam;Tóth;580709/3726;6/4
Ján;Horváth;420329/8724;6/5
